Zip Code,BaseDate,3-Month,6-Month,1-Year
77494,2024-03-31,0.6,1.5,0.2
8701,2024-03-31,0.7,1.8,-1.0
77449,2024-03-31,0.6,1.4,0.2
11368,2024-03-31,0.3,0.8,-0.4
77084,2024-03-31,0.6,1.4,0.2
79936,2024-03-31,0.5,1.2,1.5
11385,2024-03-31,0.4,1.0,-0.5
78660,2024-03-31,0.7,1.7,0.7
11208,2024-03-31,0.5,1.2,-0.7
90011,2024-03-31,0.7,1.6,0.1
77433,2024-03-31,0.6,1.4,0.2
60629,2024-03-31,1.3,3.2,-0.4
90650,2024-03-31,0.8,1.7,0.1
91331,2024-03-31,0.8,1.8,0.2
37013,2024-03-31,0.9,2.1,2.1
11236,2024-03-31,0.5,1.3,-0.7
10467,2024-03-31,0.4,1.0,-0.5
11373,2024-03-31,0.2,0.4,-0.2
11226,2024-03-31,0.4,1.0,-0.5
11207,2024-03-31,0.5,1.3,-0.7
30044,2024-03-31,0.9,2.1,2.5
90044,2024-03-31,0.7,1.5,0.1
92336,2024-03-31,0.8,1.7,1.6
94565,2024-03-31,1.0,1.4,-1.5
77573,2024-03-31,0.5,1.2,0.2
92335,2024-03-31,0.7,1.6,1.6
90201,2024-03-31,0.7,1.6,0.1
90250,2024-03-31,0.8,1.6,0.1
10025,2024-03-31,0.5,1.3,-0.7
75052,2024-03-31,0.9,2.1,1.1
90805,2024-03-31,0.7,1.6,0.1
11214,2024-03-31,0.3,0.9,-0.5
60618,2024-03-31,1.1,2.8,-0.4
93307,2024-03-31,0.9,1.9,2.2
90280,2024-03-31,0.7,1.6,0.1
11234,2024-03-31,0.4,1.1,-0.6
91342,2024-03-31,0.8,1.7,0.2
92683,2024-03-31,0.8,1.8,0.2
10314,2024-03-31,0.4,1.1,-0.6
11220,2024-03-31,0.4,1.0,-0.5
60639,2024-03-31,1.3,3.2,-0.4
78245,2024-03-31,0.6,1.5,-0.1
11219,2024-03-31,0.4,1.1,-0.6
92503,2024-03-31,0.8,1.6,1.6
78521,2024-03-31,0.9,2.4,2.9
11206,2024-03-31,0.6,1.6,-0.8
11221,2024-03-31,0.5,1.2,-0.6
10456,2024-03-31,0.4,1.1,-0.6
92345,2024-03-31,0.8,1.7,1.6
77479,2024-03-31,0.6,1.3,0.2
91911,2024-03-31,1.0,2.0,2.1
30043,2024-03-31,0.9,2.1,2.5
11223,2024-03-31,0.4,1.1,-0.6
78542,2024-03-31,1.3,3.1,3.9
78613,2024-03-31,0.7,1.8,0.7
11230,2024-03-31,0.4,1.0,-0.5
60647,2024-03-31,1.0,2.5,-0.3
93033,2024-03-31,0.6,1.1,0.2
95076,2024-03-31,1.0,1.7,0.2
92154,2024-03-31,1.0,2.0,2.1
77429,2024-03-31,0.6,1.4,0.2
10458,2024-03-31,0.4,1.0,-0.5
92376,2024-03-31,0.7,1.6,1.5
60804,2024-03-31,1.3,3.2,-0.4
11377,2024-03-31,0.2,0.6,-0.3
79938,2024-03-31,0.5,1.1,1.4
92804,2024-03-31,0.8,1.8,0.2
91710,2024-03-31,0.8,1.6,1.6
93722,2024-03-31,0.7,1.5,1.1
94112,2024-03-31,0.9,1.3,-1.5
99301,2024-03-31,0.9,2.3,1.3
11235,2024-03-31,0.4,1.1,-0.6
60632,2024-03-31,1.3,3.1,-0.4
77584,2024-03-31,0.5,1.3,0.2
11229,2024-03-31,0.4,1.0,-0.5
95823,2024-03-31,0.9,1.9,0.1
78130,2024-03-31,0.7,1.5,-0.1
60617,2024-03-31,1.4,3.5,-0.5
22193,2024-03-31,0.8,1.4,-0.6
11233,2024-03-31,0.5,1.2,-0.7
75217,2024-03-31,1.0,2.3,1.2
10453,2024-03-31,0.4,1.2,-0.6
27587,2024-03-31,0.9,2.4,2.4
73099,2024-03-31,0.8,1.9,0.9
77379,2024-03-31,0.6,1.4,0.2
96706,2024-03-31,0.4,0.5,-1.0
11204,2024-03-31,0.5,1.2,-0.6
37042,2024-03-31,0.9,2.4,3.1
85142,2024-03-31,0.9,2.1,3.1
30024,2024-03-31,0.8,2.1,2.5
10468,2024-03-31,0.6,1.4,-0.8
79928,2024-03-31,0.5,1.1,1.4
95035,2024-03-31,1.1,1.5,-0.9
91744,2024-03-31,0.8,1.7,0.2
60608,2024-03-31,1.1,2.6,-0.4
11355,2024-03-31,0.3,0.7,-0.3
92509,2024-03-31,0.8,1.6,1.6
78666,2024-03-31,0.5,1.4,0.5
11203,2024-03-31,0.5,1.3,-0.7
93257,2024-03-31,0.8,1.9,1.1
93550,2024-03-31,0.7,1.6,0.1
60625,2024-03-31,1.2,2.9,-0.4
